Country,WF,WTG,Generation,Type,Power,Component,Material Code,Material Description,'Consumption'[Date],Age (d),Sum of Q,Unit,Order,Order Exchange
Poland,WFG-PO-03,86528,DELTA,N131,3600,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-06-20 00:00:00,1841,1,PCE,SYN-ORD-752071,SYN-EX-08
USA,WFG-US-03,89752,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-05-12 00:00:00,1842,1,PCE,SYN-ORD-752624,SYN-EX-04
France,WFG-FR-02,86763,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2019-08-18 00:00:00,1842,1,PCE,SYN-ORD-754126,SYN-EX-08
Germany,WFG-GE-03,89274,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2018-02-02 00:00:00,1842,1,PCE,SYN-ORD-919628,SYN-EX-07
Uruguay,WFG-UR-01,90520,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-12-27 00:00:00,1842,1,PCE,SYN-ORD-843277,SYN-EX-02
Italy,WFG-IT-03,86780,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-12-12 00:00:00,1842,1,PCE,SYN-ORD-807273,SYN-EX-06
United Kingdom,WFG-UN-03,89199,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-01-18 00:00:00,1842,2,PCE,SYN-ORD-706336,SYN-EX-03
Uruguay,WFG-UR-01,89364,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-03-31 00:00:00,1843,1,PCE,SYN-ORD-909428,SYN-EX-03
Germany,WFG-GE-03,90258,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2019-04-26 00:00:00,1843,1,PCE,SYN-ORD-931980,SYN-EX-05
Ireland,WFG-IR-02,87347,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-08-22 00:00:00,1843,1,PCE,SYN-ORD-994128,SYN-EX-07
France,WFG-FR-02,90231,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-05-07 00:00:00,1843,2,PCE,SYN-ORD-835494,SYN-EX-09
Germany,WFG-GE-03,86927,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2022-07-11 00:00:00,1843,1,PCE,SYN-ORD-862420,SYN-EX-09
Turkey,WFG-TU-03,90511,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2017-09-13 00:00:00,1843,1,PCE,SYN-ORD-977270,SYN-EX-05
Turkey,WFG-TU-03,89415,DELTA,N131,3600,Gearbox,GBX-1180,Gearbox service component,2020-02-19 00:00:00,1844,2,PCE,SYN-ORD-958960,SYN-EX-05
Norway,WFG-NO-03,86847,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-08-09 00:00:00,1844,1,PCE,SYN-ORD-734654,SYN-EX-01
France,WFG-FR-02,86754,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-06-24 00:00:00,1844,1,PCE,SYN-ORD-825243,SYN-EX-02
Netherlands,WFG-NE-03,89971,SIGMA,N100,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2022-01-07 00:00:00,1844,1,PCE,SYN-ORD-784360,SYN-EX-04
Portugal,WFG-PO-03,87640,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-01-09 00:00:00,1845,1,PCE,SYN-ORD-878664,SYN-EX-04
Ireland,WFG-IR-02,88727,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2022-03-17 00:00:00,1845,1,PCE,SYN-ORD-896732,SYN-EX-03
South Africa,WFG-SO-03,89425,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-06-01 00:00:00,1845,1,PCE,SYN-ORD-826315,SYN-EX-08
Turkey,WFG-TU-03,89915,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2022-12-24 00:00:00,1846,1,PCE,SYN-ORD-799278,SYN-EX-03
Turkey,WFG-TU-03,86789,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-09-09 00:00:00,1846,1,PCE,SYN-ORD-762783,SYN-EX-09
Germany,WFG-GE-03,89051,GAMMA,N149,4500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-03-11 00:00:00,1846,2,PCE,SYN-ORD-770635,SYN-EX-01
France,WFG-FR-02,88866,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-11-16 00:00:00,1846,1,PCE,SYN-ORD-882401,SYN-EX-04
Uruguay,WFG-UR-01,86484,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2024-01-17 00:00:00,1847,1,PCE,SYN-ORD-999479,SYN-EX-07
Turkey,WFG-TU-03,87098,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-08-11 00:00:00,1847,1,PCE,SYN-ORD-759112,SYN-EX-08
France,WFG-FR-02,90155,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-04-15 00:00:00,1848,1,PCE,SYN-ORD-744548,SYN-EX-02
France,WFG-FR-02,87603,SIGMA,N90,2500,Main Bearing,BRG-1102,Main bearing assembly,2019-08-07 00:00:00,1849,1,PCE,SYN-ORD-720448,SYN-EX-05
USA,WFG-US-03,88766,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2020-09-24 00:00:00,1849,1,PCE,SYN-ORD-725219,SYN-EX-07
Italy,WFG-IT-03,88927,DELTA,N131,3600,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-10-06 00:00:00,1850,1,PCE,SYN-ORD-830965,SYN-EX-08
France,WFG-FR-02,86836,DELTA,N80,1300,Generator,GEN-4201,Generator control module,2022-08-19 00:00:00,1850,1,PCE,SYN-ORD-807441,SYN-EX-06
Portugal,WFG-PO-03,87046,DELTA,N125,3000,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-04-07 00:00:00,1851,1,PCE,SYN-ORD-900297,SYN-EX-06
United Kingdom,WFG-UN-03,90405,SIGMA,N90,2500,Main Bearing,BRG-2208,Main bearing assembly,2023-06-15 00:00:00,1851,2,PCE,SYN-ORD-947918,SYN-EX-08
Poland,WFG-PO-03,89880,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2023-08-25 00:00:00,1851,1,PCE,SYN-ORD-725195,SYN-EX-07
France,WFG-FR-02,86864,DELTA,N125,3000,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2025-07-02 00:00:00,1852,1,PCE,SYN-ORD-701652,SYN-EX-09
United Kingdom,WFG-UN-03,89038,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2016-04-26 00:00:00,1853,2,PCE,SYN-ORD-742167,SYN-EX-08
Germany,WFG-GE-03,88073,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-02-14 00:00:00,1853,1,PCE,SYN-ORD-752869,SYN-EX-08
Turkey,WFG-TU-03,86948,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-04-19 00:00:00,1853,1,PCE,SYN-ORD-716315,SYN-EX-07
Italy,WFG-IT-03,87939,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-05-15 00:00:00,1853,1,PCE,SYN-ORD-936338,SYN-EX-05
United Kingdom,WFG-UN-03,86488,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-11-11 00:00:00,1853,1,PCE,SYN-ORD-931166,SYN-EX-07
France,WFG-FR-02,88443,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2019-03-12 00:00:00,1854,1,PCE,SYN-ORD-869139,SYN-EX-07
Sweden,WFG-SW-03,87406,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-02-01 00:00:00,1854,1,PCE,SYN-ORD-813018,SYN-EX-08
Germany,WFG-GE-03,89256,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-09-06 00:00:00,1854,1,PCE,SYN-ORD-969419,SYN-EX-08
United Kingdom,WFG-UN-03,87044,GAMMA,N163,5700,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-05-31 00:00:00,1854,1,PCE,SYN-ORD-933870,SYN-EX-03
Brazil,WFG-BR-02,90573,GAMMA,N149,4500,Generator,GEN-4201,Generator control module,2019-08-11 00:00:00,1854,1,PCE,SYN-ORD-749063,SYN-EX-04
USA,WFG-US-03,89275,GAMMA,N149,4500,Yaw System,YAW-3301,Yaw drive frequency converter,2020-09-21 00:00:00,1854,1,PCE,SYN-ORD-716536,SYN-EX-02
Poland,WFG-PO-03,89447,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-10-20 00:00:00,1854,1,PCE,SYN-ORD-775752,SYN-EX-05
United Kingdom,WFG-UN-03,87102,SIGMA,N100,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2022-12-27 00:00:00,1854,1,PCE,SYN-ORD-746133,SYN-EX-07
Poland,WFG-PO-03,88595,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2017-05-31 00:00:00,1855,1,PCE,SYN-ORD-727836,SYN-EX-04
Ireland,WFG-IR-02,90265,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-03-21 00:00:00,1855,1,PCE,SYN-ORD-750533,SYN-EX-06
Ireland,WFG-IR-02,86706,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2017-05-03 00:00:00,1855,1,PCE,SYN-ORD-984017,SYN-EX-02
France,WFG-FR-02,89808,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2024-06-02 00:00:00,1855,1,PCE,SYN-ORD-914995,SYN-EX-05
Italy,WFG-IT-03,87936,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-02-04 00:00:00,1855,1,PCE,SYN-ORD-844698,SYN-EX-07
France,WFG-FR-02,89967,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-04-05 00:00:00,1855,1,PCE,SYN-ORD-848245,SYN-EX-06
Argentina,WFG-AR-03,88452,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2017-03-19 00:00:00,1856,1,PCE,SYN-ORD-821539,SYN-EX-08
France,WFG-FR-02,89478,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2022-04-12 00:00:00,1856,1,PCE,SYN-ORD-969175,SYN-EX-06
France,WFG-FR-02,88101,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2020-09-22 00:00:00,1856,1,PCE,SYN-ORD-988766,SYN-EX-01
Sweden,WFG-SW-03,88295,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2022-11-20 00:00:00,1856,1,PCE,SYN-ORD-871267,SYN-EX-09
France,WFG-FR-02,90077,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-07-21 00:00:00,1856,2,PCE,SYN-ORD-784989,SYN-EX-09
Turkey,WFG-TU-03,86665,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2024-11-21 00:00:00,1857,1,PCE,SYN-ORD-862707,SYN-EX-02
Italy,WFG-IT-03,88931,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-03-12 00:00:00,1857,2,PCE,SYN-ORD-792960,SYN-EX-01
Germany,WFG-GE-03,88419,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-05-21 00:00:00,1857,2,PCE,SYN-ORD-901296,SYN-EX-05
Germany,WFG-GE-03,90244,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2021-12-14 00:00:00,1858,1,PCE,SYN-ORD-883009,SYN-EX-02
USA,WFG-US-03,90161,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2018-11-22 00:00:00,1858,1,PCE,SYN-ORD-830573,SYN-EX-01
France,WFG-FR-02,89826,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2018-11-13 00:00:00,1858,1,PCE,SYN-ORD-929069,SYN-EX-06
France,WFG-FR-02,88667,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2016-06-20 00:00:00,1858,1,PCE,SYN-ORD-734964,SYN-EX-08
Germany,WFG-GE-03,89280,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2023-05-29 00:00:00,1858,1,PCE,SYN-ORD-744211,SYN-EX-06
Turkey,WFG-TU-03,89344,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2021-06-24 00:00:00,1858,1,PCE,SYN-ORD-883584,SYN-EX-07
France,WFG-FR-02,90495,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2023-01-23 00:00:00,1859,1,PCE,SYN-ORD-770794,SYN-EX-05
Germany,WFG-GE-03,88995,GAMMA,N149,4500,Gearbox,GBX-2044,Gearbox service component,2024-12-13 00:00:00,1859,1,PCE,SYN-ORD-959834,SYN-EX-02
United Kingdom,WFG-UN-03,90708,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-02-24 00:00:00,1859,2,PCE,SYN-ORD-832609,SYN-EX-04
United Kingdom,WFG-UN-03,89294,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-07-12 00:00:00,1859,1,PCE,SYN-ORD-962293,SYN-EX-04
Germany,WFG-GE-03,86639,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-02-21 00:00:00,1860,1,PCE,SYN-ORD-778383,SYN-EX-01
France,WFG-FR-02,88170,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-10-26 00:00:00,1860,1,PCE,SYN-ORD-784993,SYN-EX-09
Sweden,WFG-SW-03,86202,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-07-19 00:00:00,1860,1,PCE,SYN-ORD-812134,SYN-EX-05
United Kingdom,WFG-UN-03,87805,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-02-05 00:00:00,1860,1,PCE,SYN-ORD-742029,SYN-EX-05
Turkey,WFG-TU-03,90000,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-08-16 00:00:00,1860,1,PCE,SYN-ORD-869162,SYN-EX-04
Turkey,WFG-TU-03,89718,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-03-14 00:00:00,1861,1,PCE,SYN-ORD-922606,SYN-EX-01
France,WFG-FR-02,87279,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-01-13 00:00:00,1861,1,PCE,SYN-ORD-734971,SYN-EX-04
Netherlands,WFG-NE-03,88235,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2017-02-15 00:00:00,1861,1,PCE,SYN-ORD-998696,SYN-EX-04
Belgium,WFG-BE-01,88890,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2018-07-31 00:00:00,1861,1,PCE,SYN-ORD-757683,SYN-EX-03
Belgium,WFG-BE-01,89019,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-08-30 00:00:00,1862,2,PCE,SYN-ORD-709597,SYN-EX-06
France,WFG-FR-02,88879,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2018-06-02 00:00:00,1862,1,PCE,SYN-ORD-889796,SYN-EX-05
France,WFG-FR-02,90186,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2021-05-10 00:00:00,1862,1,PCE,SYN-ORD-966933,SYN-EX-03
Germany,WFG-GE-03,88152,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2020-02-28 00:00:00,1862,1,PCE,SYN-ORD-860169,SYN-EX-08
France,WFG-FR-02,87291,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2025-06-02 00:00:00,1862,1,PCE,SYN-ORD-989036,SYN-EX-05
France,WFG-FR-02,87672,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-03-29 00:00:00,1862,1,PCE,SYN-ORD-831359,SYN-EX-05
United Kingdom,WFG-UN-03,86218,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-07-27 00:00:00,1862,1,PCE,SYN-ORD-846497,SYN-EX-07
France,WFG-FR-02,89371,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-06-19 00:00:00,1862,1,PCE,SYN-ORD-702649,SYN-EX-04
South Africa,WFG-SO-03,88854,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-05-05 00:00:00,1863,1,PCE,SYN-ORD-931874,SYN-EX-02
Germany,WFG-GE-03,86694,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-04-23 00:00:00,1863,1,PCE,SYN-ORD-795453,SYN-EX-05
Germany,WFG-GE-03,89211,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-06-15 00:00:00,1863,1,PCE,SYN-ORD-811398,SYN-EX-09
Sweden,WFG-SW-03,86816,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-03-15 00:00:00,1863,1,PCE,SYN-ORD-785287,SYN-EX-05
Ireland,WFG-IR-02,88338,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-06-06 00:00:00,1864,1,PCE,SYN-ORD-960300,SYN-EX-06
France,WFG-FR-02,90615,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2025-06-27 00:00:00,1864,1,PCE,SYN-ORD-966049,SYN-EX-09
United Kingdom,WFG-UN-03,87331,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2023-07-28 00:00:00,1864,1,PCE,SYN-ORD-848083,SYN-EX-03
France,WFG-FR-02,86770,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-02-10 00:00:00,1864,1,PCE,SYN-ORD-875247,SYN-EX-07
Germany,WFG-GE-03,90371,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2018-10-08 00:00:00,1865,1,PCE,SYN-ORD-767909,SYN-EX-05
Turkey,WFG-TU-03,87086,SIGMA,N100,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2025-02-06 00:00:00,1865,1,PCE,SYN-ORD-703135,SYN-EX-05
France,WFG-FR-02,87451,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-06-09 00:00:00,1865,1,PCE,SYN-ORD-900346,SYN-EX-02
United Kingdom,WFG-UN-03,90056,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-06-26 00:00:00,1865,1,PCE,SYN-ORD-876594,SYN-EX-03
France,WFG-FR-02,87677,DELTA,N131,3600,Gearbox,GBX-1180,Gearbox service component,2024-03-12 00:00:00,1926,1,PCE,SYN-ORD-742011,SYN-EX-07
Ireland,WFG-IR-02,90032,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2022-12-11 00:00:00,1926,1,PCE,SYN-ORD-875204,SYN-EX-01
Portugal,WFG-PO-03,89543,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-12-10 00:00:00,1926,1,PCE,SYN-ORD-716664,SYN-EX-09
Germany,WFG-GE-03,86965,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2021-12-22 00:00:00,1926,2,PCE,SYN-ORD-947318,SYN-EX-01
Germany,WFG-GE-03,86430,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2021-07-21 00:00:00,1926,1,PCE,SYN-ORD-897983,SYN-EX-07
Turkey,WFG-TU-03,86369,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2018-11-13 00:00:00,1926,2,PCE,SYN-ORD-708828,SYN-EX-03
Poland,WFG-PO-03,89921,SIGMA,N100,2500,Main Bearing,BRG-1102,Main bearing assembly,2023-03-23 00:00:00,1926,1,PCE,SYN-ORD-712952,SYN-EX-04
United Kingdom,WFG-UN-03,88669,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-10-08 00:00:00,1926,1,PCE,SYN-ORD-736201,SYN-EX-04
Ireland,WFG-IR-02,89325,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2018-12-31 00:00:00,1926,1,PCE,SYN-ORD-761265,SYN-EX-07
Turkey,WFG-TU-03,86908,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2024-05-06 00:00:00,1926,1,PCE,SYN-ORD-725343,SYN-EX-05
France,WFG-FR-02,88441,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-09-29 00:00:00,1926,2,PCE,SYN-ORD-964649,SYN-EX-07
USA,WFG-US-03,86259,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-03-26 00:00:00,1926,1,PCE,SYN-ORD-773708,SYN-EX-02
France,WFG-FR-02,88765,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-04-16 00:00:00,1926,1,PCE,SYN-ORD-799564,SYN-EX-03
Italy,WFG-IT-03,90704,SIGMA,N90,2500,Main Bearing,BRG-1102,Main bearing assembly,2024-02-03 00:00:00,1926,1,PCE,SYN-ORD-816549,SYN-EX-09
France,WFG-FR-02,87778,DELTA,N131,3600,Generator,GEN-5210,Generator control module,2019-07-03 00:00:00,1926,1,PCE,SYN-ORD-789936,SYN-EX-03
France,WFG-FR-02,89523,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2023-03-10 00:00:00,1926,1,PCE,SYN-ORD-969836,SYN-EX-04
USA,WFG-US-03,89101,SIGMA,N90,2500,Main Bearing,BRG-2208,Main bearing assembly,2021-04-10 00:00:00,1926,1,PCE,SYN-ORD-780488,SYN-EX-09
USA,WFG-US-03,89941,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-11-17 00:00:00,1926,1,PCE,SYN-ORD-805819,SYN-EX-09
United Kingdom,WFG-UN-03,87940,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2024-09-16 00:00:00,1926,1,PCE,SYN-ORD-742656,SYN-EX-09
Turkey,WFG-TU-03,87101,GAMMA,N149,4500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-07-26 00:00:00,1926,1,PCE,SYN-ORD-927876,SYN-EX-03
South Africa,WFG-SO-03,87886,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-11-27 00:00:00,1926,1,PCE,SYN-ORD-730614,SYN-EX-05
Finland,WFG-FI-01,90545,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-03-19 00:00:00,1926,1,PCE,SYN-ORD-985612,SYN-EX-08
Uruguay,WFG-UR-01,89441,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2015-09-22 00:00:00,1926,1,PCE,SYN-ORD-744926,SYN-EX-03
United Kingdom,WFG-UN-03,88952,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2025-04-22 00:00:00,1926,1,PCE,SYN-ORD-989293,SYN-EX-02
United Kingdom,WFG-UN-03,89442,DELTA,N125,3000,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2017-05-25 00:00:00,1926,1,PCE,SYN-ORD-755673,SYN-EX-08
United Kingdom,WFG-UN-03,90382,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-11-19 00:00:00,1926,1,PCE,SYN-ORD-982423,SYN-EX-01
Turkey,WFG-TU-03,89121,GAMMA,N149,4500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-08-17 00:00:00,1926,1,PCE,SYN-ORD-741529,SYN-EX-02
France,WFG-FR-02,88885,SIGMA,N90,2500,Main Bearing,BRG-1102,Main bearing assembly,2022-02-28 00:00:00,1926,2,PCE,SYN-ORD-948122,SYN-EX-04
United Kingdom,WFG-UN-03,89577,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2019-05-10 00:00:00,1926,2,PCE,SYN-ORD-971407,SYN-EX-06
Germany,WFG-GE-03,88399,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-02-18 00:00:00,1926,1,PCE,SYN-ORD-765679,SYN-EX-09
Germany,WFG-GE-03,90133,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2022-05-11 00:00:00,1926,1,PCE,SYN-ORD-837990,SYN-EX-07
Finland,WFG-FI-01,86801,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-08-13 00:00:00,1926,1,PCE,SYN-ORD-913774,SYN-EX-06
Germany,WFG-GE-03,86684,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-10-24 00:00:00,1926,1,PCE,SYN-ORD-838120,SYN-EX-09
USA,WFG-US-03,88868,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2018-02-24 00:00:00,1926,1,PCE,SYN-ORD-802459,SYN-EX-03
United Kingdom,WFG-UN-03,88528,DELTA,N131,3600,Main Bearing,BRG-2208,Main bearing assembly,2023-07-16 00:00:00,1926,1,PCE,SYN-ORD-723448,SYN-EX-05
France,WFG-FR-02,88606,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-06-07 00:00:00,1926,1,PCE,SYN-ORD-989436,SYN-EX-02
Greece,WFG-GR-03,89670,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2017-11-16 00:00:00,1926,1,PCE,SYN-ORD-988707,SYN-EX-02
France,WFG-FR-02,90485,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2018-09-01 00:00:00,1926,1,PCE,SYN-ORD-826412,SYN-EX-07
Uruguay,WFG-UR-01,86545,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-06-17 00:00:00,1926,1,PCE,SYN-ORD-711899,SYN-EX-07
Portugal,WFG-PO-03,89041,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2023-10-30 00:00:00,1926,1,PCE,SYN-ORD-842562,SYN-EX-06
France,WFG-FR-02,86328,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-04-07 00:00:00,1926,1,PCE,SYN-ORD-723211,SYN-EX-07
Germany,WFG-GE-03,86379,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-03-03 00:00:00,1926,1,PCE,SYN-ORD-846459,SYN-EX-04
